,origin,destination,treq,tdep,ttrav,tarr,tdrop,dist,pax_id,Point_o,origin_x,origin_y,Point_d,destination_x,destination_y
992,556773665,46411769,2020-10-29 14:30:40,,0 days 01:23:53.000000000,2020-10-29 15:54:33,,5033,992,POINT (4.8044685 52.3651252),4.8044685,52.3651252,POINT (4.855683 52.3769704),4.855683,52.3769704
485,46368135,5805453834,2020-10-29 14:30:40,,0 days 00:35:03.000000000,2020-10-29 15:05:43,,2103,485,POINT (4.8869657 52.367779),4.8869657,52.367779,POINT (4.8909045 52.3534484),4.8909045,52.3534484
288,1655770340,46380158,2020-10-29 14:30:41,,0 days 01:19:13.000000000,2020-10-29 15:49:54,,4753,288,POINT (4.8229918 52.3586211),4.8229918,52.3586211,POINT (4.8801521 52.3703137),4.8801521,52.3703137
43,2303225759,46392048,2020-10-29 14:30:43,,0 days 00:21:37.000000000,2020-10-29 14:52:20,,1297,43,POINT (4.8687353 52.3796602),4.8687353,52.3796602,POINT (4.8744231 52.3728313),4.8744231,52.3728313
884,46383340,46393121,2020-10-29 14:30:49,,0 days 01:32:28.000000000,2020-10-29 16:03:17,,5548,884,POINT (4.9212561 52.3709663),4.9212561,52.3709663,POINT (4.8699476 52.3730631),4.8699476,52.3730631
791,46426633,46391119,2020-10-29 14:31:00,,0 days 01:00:38.000000000,2020-10-29 15:31:38,,3638,791,POINT (4.8331163 52.3800062),4.8331163,52.3800062,POINT (4.8704105 52.3725684),4.8704105,52.3725684
977,46529918,46363698,2020-10-29 14:31:06,,0 days 03:05:28.000000000,2020-10-29 17:36:34,,11128,977,POINT (4.89263 52.40801),4.89263,52.40801,POINT (4.8623495 52.3668182),4.8623495,52.3668182
413,1614157904,46329592,2020-10-29 14:31:10,,0 days 01:26:53.000000000,2020-10-29 15:58:03,,5213,413,POINT (4.935721 52.3539454),4.935721,52.3539454,POINT (4.8753466 52.3588206),4.8753466,52.3588206
633,46419987,297095273,2020-10-29 14:31:13,,0 days 00:26:19.000000000,2020-10-29 14:57:32,,1579,633,POINT (4.8592823 52.3787013),4.8592823,52.3787013,POINT (4.8679436 52.3704575),4.8679436,52.3704575
624,29529317,4924402831,2020-10-29 14:31:15,,0 days 01:21:48.000000000,2020-10-29 15:53:03,,4908,624,POINT (4.9322833 52.3661088),4.9322833,52.3661088,POINT (4.8804591 52.3629861),4.8804591,52.3629861
811,46281852,4625767592,2020-10-29 14:31:16,,0 days 01:27:35.000000000,2020-10-29 15:58:51,,5255,811,POINT (4.8577871 52.3476391),4.8577871,52.3476391,POINT (4.8704549 52.383008),4.8704549,52.383008
227,46178706,1069320430,2020-10-29 14:31:17,,0 days 01:46:56.000000000,2020-10-29 16:18:13,,6416,227,POINT (4.8634905 52.3248719),4.8634905,52.3248719,POINT (4.886531 52.3661641),4.886531,52.3661641
526,46388186,442374823,2020-10-29 14:31:26,,0 days 01:45:04.000000000,2020-10-29 16:16:30,,6304,526,POINT (4.9024164 52.3720645),4.9024164,52.3720645,POINT (4.84087 52.3896175),4.84087,52.3896175
466,46441941,46371073,2020-10-29 14:31:32,,0 days 01:02:25.000000000,2020-10-29 15:33:57,,3745,466,POINT (4.8317448 52.3833495),4.8317448,52.3833495,POINT (4.8649333 52.3684928),4.8649333,52.3684928
201,46362483,2772719483,2020-10-29 14:31:35,,0 days 01:32:06.000000000,2020-10-29 16:03:41,,5526,201,POINT (4.9239791 52.36645),4.9239791,52.36645,POINT (4.8712084 52.3724692),4.8712084,52.3724692
298,1838674586,46430144,2020-10-29 14:31:40,,0 days 00:41:03.000000000,2020-10-29 15:12:43,,2463,298,POINT (4.8733471 52.3657347),4.8733471,52.3657347,POINT (4.887602 52.3807444),4.887602,52.3807444
213,46351555,46376376,2020-10-29 14:31:46,,0 days 01:12:14.000000000,2020-10-29 15:44:00,,4334,213,POINT (4.825651 52.3636869),4.825651,52.3636869,POINT (4.8823837 52.3695636),4.8823837,52.3695636
81,827624076,258421545,2020-10-29 14:31:48,,0 days 02:35:20.000000000,2020-10-29 17:07:08,,9320,81,POINT (4.9467148 52.3901723),4.9467148,52.3901723,POINT (4.8683487 52.3821206),4.8683487,52.3821206
698,2311111652,46426681,2020-10-29 14:31:49,,0 days 00:39:37.000000000,2020-10-29 15:11:26,,2377,698,POINT (4.8739865 52.3664657),4.8739865,52.3664657,POINT (4.8589122 52.3801713),4.8589122,52.3801713
993,46355204,46380586,2020-10-29 14:31:50,,0 days 00:31:12.000000000,2020-10-29 15:03:02,,1872,993,POINT (4.8957093 52.3646207),4.8957093,52.3646207,POINT (4.877417 52.3703923),4.877417,52.3703923
869,46449162,46375982,2020-10-29 14:31:52,,0 days 00:52:00.000000000,2020-10-29 15:23:52,,3120,869,POINT (4.8804631 52.3850676),4.8804631,52.3850676,POINT (4.8567248 52.369436),4.8567248,52.369436
532,3412535141,2300344136,2020-10-29 14:31:57,,0 days 00:43:02.000000000,2020-10-29 15:14:59,,2582,532,POINT (4.8923096 52.3636883),4.8923096,52.3636883,POINT (4.8866398 52.378842),4.8866398,52.378842
652,3276629231,46363201,2020-10-29 14:32:05,,0 days 01:13:56.000000000,2020-10-29 15:46:01,,4436,652,POINT (4.8925542 52.3409538),4.8925542,52.3409538,POINT (4.8648219 52.3667811),4.8648219,52.3667811
166,814274933,46439956,2020-10-29 14:32:07,,0 days 02:21:15.000000000,2020-10-29 16:53:22,,8475,166,POINT (4.8124625 52.3447338),4.8124625,52.3447338,POINT (4.8837839 52.3829088),4.8837839,52.3829088
54,452869517,46437613,2020-10-29 14:32:07,,0 days 01:03:44.000000000,2020-10-29 15:35:51,,3824,54,POINT (4.8961509 52.3797973),4.8961509,52.3797973,POINT (4.85396 52.3824),4.85396,52.3824
684,46261267,46331852,2020-10-29 14:32:09,,0 days 01:23:46.000000000,2020-10-29 15:55:55,,5026,684,POINT (4.9084769 52.3430596),4.9084769,52.3430596,POINT (4.8613528 52.3592536),4.8613528,52.3592536
135,2600712512,7027339021,2020-10-29 14:32:11,,0 days 01:47:40.000000000,2020-10-29 16:19:51,,6460,135,POINT (4.7950664 52.3933615),4.7950664,52.3933615,POINT (4.8752155 52.384266),4.8752155,52.384266
355,46500858,46397577,2020-10-29 14:32:22,,0 days 02:40:37.000000000,2020-10-29 17:12:59,,9637,355,POINT (4.9468753 52.3987525),4.9468753,52.3987525,POINT (4.8695219 52.3738831),4.8695219,52.3738831
775,1838674586,46416876,2020-10-29 14:32:23,,0 days 00:42:24.000000000,2020-10-29 15:14:47,,2544,775,POINT (4.8733471 52.3657347),4.8733471,52.3657347,POINT (4.8523079 52.3780928),4.8523079,52.3780928
922,3411610216,46402405,2020-10-29 14:32:24,,0 days 00:40:51.000000000,2020-10-29 15:13:15,,2451,922,POINT (4.8926849 52.3650396),4.8926849,52.3650396,POINT (4.8713778 52.3749918),4.8713778,52.3749918
678,1595259772,46335755,2020-10-29 14:32:28,,0 days 01:09:04.000000000,2020-10-29 15:41:32,,4144,678,POINT (4.939765 52.3615899),4.939765,52.3615899,POINT (4.8868521 52.3601685),4.8868521,52.3601685
451,46367629,5832473463,2020-10-29 14:32:33,,0 days 02:09:39.000000000,2020-10-29 16:42:12,,7779,451,POINT (4.7968675 52.3676407),4.7968675,52.3676407,POINT (4.8842211 52.3858918),4.8842211,52.3858918
857,46411733,46365718,2020-10-29 14:32:33,,0 days 01:18:28.000000000,2020-10-29 15:51:01,,4708,857,POINT (4.8210524 52.376856),4.8210524,52.376856,POINT (4.8768696 52.3672622),4.8768696,52.3672622
577,46550992,3307637392,2020-10-29 14:32:33,,0 days 02:41:31.000000000,2020-10-29 17:14:04,,9691,577,POINT (4.8838883 52.414861),4.8838883,52.414861,POINT (4.8552141 52.3642314),4.8552141,52.3642314
354,46331637,2311089625,2020-10-29 14:32:43,,0 days 00:56:39.000000000,2020-10-29 15:29:22,,3399,354,POINT (4.820985 52.3591327),4.820985,52.3591327,POINT (4.863371 52.3637332),4.863371,52.3637332
765,46396066,5420352485,2020-10-29 14:32:48,,0 days 00:34:04.000000000,2020-10-29 15:06:52,,2044,765,POINT (4.8666512 52.3736088),4.8666512,52.3736088,POINT (4.8840199 52.3749022),4.8840199,52.3749022
448,46444047,3300514053,2020-10-29 14:32:55,,0 days 00:51:50.000000000,2020-10-29 15:24:45,,3110,448,POINT (4.8352845 52.3838348),4.8352845,52.3838348,POINT (4.8592182 52.3692932),4.8592182,52.3692932
608,46424527,1106841180,2020-10-29 14:33:03,,0 days 01:22:04.000000000,2020-10-29 15:55:07,,4924,608,POINT (4.8351829 52.379731),4.8351829,52.379731,POINT (4.8807821 52.3623822),4.8807821,52.3623822
941,46311341,46388666,2020-10-29 14:33:05,,0 days 00:53:27.000000000,2020-10-29 15:26:32,,3207,941,POINT (4.8621424 52.354567),4.8621424,52.354567,POINT (4.8757309 52.3721022),4.8757309,52.3721022
923,46312415,280452516,2020-10-29 14:33:05,,0 days 01:07:57.000000000,2020-10-29 15:41:02,,4077,923,POINT (4.9198579 52.3548146),4.9198579,52.3548146,POINT (4.8766521 52.3623788),4.8766521,52.3623788
326,46406336,46317649,2020-10-29 14:33:07,,0 days 00:47:06.000000000,2020-10-29 15:20:13,,2826,326,POINT (4.8674032 52.3761604),4.8674032,52.3761604,POINT (4.875405 52.3559991),4.875405,52.3559991
876,46285387,3416675270,2020-10-29 14:33:09,,0 days 00:29:50.000000000,2020-10-29 15:02:59,,1790,876,POINT (4.8888296 52.3485597),4.8888296,52.3485597,POINT (4.8921107 52.362934),4.8921107,52.362934
381,46407881,46316441,2020-10-29 14:33:12,,0 days 00:46:18.000000000,2020-10-29 15:19:30,,2778,381,POINT (4.8824608 52.376113),4.8824608,52.376113,POINT (4.8851366 52.3556852),4.8851366,52.3556852
285,6653308970,3214953956,2020-10-29 14:33:13,,0 days 01:07:14.000000000,2020-10-29 15:40:27,,4034,285,POINT (4.8640312 52.3460322),4.8640312,52.3460322,POINT (4.8845822 52.3669247),4.8845822,52.3669247
802,2301119431,3294946428,2020-10-29 14:33:13,,0 days 00:26:12.000000000,2020-10-29 14:59:25,,1572,802,POINT (4.8748929 52.3758942),4.8748929,52.3758942,POINT (4.8600066 52.3714409),4.8600066,52.3714409
237,46307543,46271336,2020-10-29 14:33:15,,0 days 01:11:21.000000000,2020-10-29 15:44:36,,4281,237,POINT (4.8212703 52.353708),4.8212703,52.353708,POINT (4.8688623 52.3452333),4.8688623,52.3452333
293,4720895761,46415905,2020-10-29 14:33:17,,0 days 01:38:03.000000000,2020-10-29 16:11:20,,5883,293,POINT (4.872457 52.3355293),4.872457,52.3355293,POINT (4.8625826 52.3777842),4.8625826,52.3777842
465,46346752,6206420404,2020-10-29 14:33:23,,0 days 00:44:40.000000000,2020-10-29 15:18:03,,2680,465,POINT (4.9072577 52.3625672),4.9072577,52.3625672,POINT (4.8785987 52.3643893),4.8785987,52.3643893
369,46494558,2020233448,2020-10-29 14:33:24,,0 days 01:32:01.000000000,2020-10-29 16:05:25,,5521,369,POINT (4.8379569 52.3965148),4.8379569,52.3965148,POINT (4.8503588 52.3578129),4.8503588,52.3578129
221,46348430,3177152064,2020-10-29 14:33:26,,0 days 00:34:51.000000000,2020-10-29 15:08:17,,2091,221,POINT (4.8732301 52.3630099),4.8732301,52.3630099,POINT (4.8930502 52.366096),4.8930502,52.366096
472,46396359,5830440697,2020-10-29 14:33:28,,0 days 01:37:41.000000000,2020-10-29 16:11:09,,5861,472,POINT (4.8123922 52.3736512),4.8123922,52.3736512,POINT (4.8796643 52.3665237),4.8796643,52.3665237
408,1738904693,46386137,2020-10-29 14:33:44,,0 days 02:35:45.000000000,2020-10-29 17:09:29,,9345,408,POINT (4.9025476 52.3857316),4.9025476,52.3857316,POINT (4.8732815 52.3715582),4.8732815,52.3715582
167,46315404,46377468,2020-10-29 14:33:46,,0 days 01:08:55.000000000,2020-10-29 15:42:41,,4135,167,POINT (4.8840016 52.3554862),4.8840016,52.3554862,POINT (4.8484448 52.3697474),4.8484448,52.3697474
511,46382851,46308387,2020-10-29 14:33:47,,0 days 01:20:55.000000000,2020-10-29 15:54:42,,4855,511,POINT (4.8818949 52.3708279),4.8818949,52.3708279,POINT (4.9248563 52.3539549),4.9248563,52.3539549
807,46409618,5827691887,2020-10-29 14:33:49,,0 days 01:00:25.000000000,2020-10-29 15:34:14,,3625,807,POINT (4.8502106 52.3762754),4.8502106,52.3762754,POINT (4.8813716 52.3819975),4.8813716,52.3819975
852,46408328,722976569,2020-10-29 14:33:52,,0 days 00:38:34.000000000,2020-10-29 15:12:26,,2314,852,POINT (4.8802921 52.3762313),4.8802921,52.3762313,POINT (4.8754005 52.3627128),4.8754005,52.3627128
272,46492155,46375985,2020-10-29 14:33:58,,0 days 01:36:38.000000000,2020-10-29 16:10:36,,5798,272,POINT (4.8373244 52.3957514),4.8373244,52.3957514,POINT (4.8806748 52.3695316),4.8806748,52.3695316
410,46206856,3412535141,2020-10-29 14:34:09,,0 days 01:07:03.000000000,2020-10-29 15:41:12,,4023,410,POINT (4.8850991 52.3317599),4.8850991,52.3317599,POINT (4.8923096 52.3636883),4.8923096,52.3636883
990,46315508,46442407,2020-10-29 14:34:09,,0 days 01:40:36.000000000,2020-10-29 16:14:45,,6036,990,POINT (4.911325 52.3554368),4.911325,52.3554368,POINT (4.8703434 52.3834974),4.8703434,52.3834974
24,46305051,46404705,2020-10-29 14:34:15,,0 days 01:50:34.000000000,2020-10-29 16:24:49,,6634,24,POINT (4.9219868 52.3531554),4.9219868,52.3531554,POINT (4.8593733 52.3754549),4.8593733,52.3754549
763,46342465,46442778,2020-10-29 14:34:17,,0 days 02:08:44.000000000,2020-10-29 16:43:01,,7724,763,POINT (4.8071716 52.3614282),4.8071716,52.3614282,POINT (4.8889884 52.3836459),4.8889884,52.3836459
116,46419878,46267658,2020-10-29 14:34:18,,0 days 01:46:54.000000000,2020-10-29 16:21:12,,6414,116,POINT (4.8484944 52.3786026),4.8484944,52.3786026,POINT (4.8873589 52.3444211),4.8873589,52.3444211
119,46472650,46341083,2020-10-29 14:34:20,,0 days 03:00:32.000000000,2020-10-29 17:34:52,,10832,119,POINT (4.9405144 52.3903717),4.9405144,52.3903717,POINT (4.8543826 52.361251),4.8543826,52.361251
935,46447066,2298641921,2020-10-29 14:34:25,,0 days 00:34:16.000000000,2020-10-29 15:08:41,,2056,935,POINT (4.8554541 52.3845457),4.8554541,52.3845457,POINT (4.8730345 52.3746481),4.8730345,52.3746481
235,690687730,46363077,2020-10-29 14:34:29,,0 days 01:49:03.000000000,2020-10-29 16:23:32,,6543,235,POINT (4.8188475 52.3893413),4.8188475,52.3893413,POINT (4.8826868 52.3667126),4.8826868,52.3667126
129,46322719,451707293,2020-10-29 14:34:29,,0 days 01:08:38.000000000,2020-10-29 15:43:07,,4118,129,POINT (4.9140015 52.3571817),4.9140015,52.3571817,POINT (4.8698816 52.3686708),4.8698816,52.3686708
983,1306536545,46410991,2020-10-29 14:34:29,,0 days 01:35:36.000000000,2020-10-29 16:10:05,,5736,983,POINT (4.9269691 52.368512),4.9269691,52.368512,POINT (4.8787577 52.3767988),4.8787577,52.3767988
535,46415905,46320323,2020-10-29 14:34:37,,0 days 00:56:25.000000000,2020-10-29 15:31:02,,3385,535,POINT (4.8625826 52.3777842),4.8625826,52.3777842,POINT (4.878846 52.3565931),4.878846,52.3565931
118,5191247970,297095265,2020-10-29 14:34:44,,0 days 00:56:57.000000000,2020-10-29 15:31:41,,3417,118,POINT (4.8440415 52.3500791),4.8440415,52.3500791,POINT (4.8633628 52.3708773),4.8633628,52.3708773
31,46294843,1525016500,2020-10-29 14:34:44,,0 days 00:57:48.000000000,2020-10-29 15:32:32,,3468,31,POINT (4.9412029 52.3507951),4.9412029,52.3507951,POINT (4.9061112 52.3592298),4.9061112,52.3592298
536,46299320,46357050,2020-10-29 14:34:45,,0 days 01:50:34.000000000,2020-10-29 16:25:19,,6634,536,POINT (4.792512 52.3519388),4.792512,52.3519388,POINT (4.87686 52.3651566),4.87686,52.3651566
5,4977962101,46467189,2020-10-29 14:34:52,,0 days 01:47:32.000000000,2020-10-29 16:22:24,,6452,5,POINT (4.8922632 52.338916),4.8922632,52.338916,POINT (4.8796299 52.3891565),4.8796299,52.3891565
510,3301285154,7042607646,2020-10-29 14:34:55,,0 days 01:03:32.000000000,2020-10-29 15:38:27,,3812,510,POINT (4.9147346 52.3625134),4.9147346,52.3625134,POINT (4.8732296 52.3675453),4.8732296,52.3675453
58,46282636,1587126023,2020-10-29 14:35:02,,0 days 01:15:28.000000000,2020-10-29 15:50:30,,4528,58,POINT (4.9070923 52.3478296),4.9070923,52.3478296,POINT (4.8751215 52.374088),4.8751215,52.374088
996,46343674,46357050,2020-10-29 14:35:05,,0 days 00:52:41.000000000,2020-10-29 15:27:46,,3161,996,POINT (4.8405313 52.3617557),4.8405313,52.3617557,POINT (4.87686 52.3651566),4.87686,52.3651566
310,46295972,3300515594,2020-10-29 14:35:13,,0 days 01:57:47.000000000,2020-10-29 16:33:00,,7067,310,POINT (4.9262166 52.3510224),4.9262166,52.3510224,POINT (4.8532184 52.3735578),4.8532184,52.3735578
929,2331557769,4625767495,2020-10-29 14:35:15,,0 days 02:24:09.000000000,2020-10-29 16:59:24,,8649,929,POINT (4.7948871 52.3433039),4.7948871,52.3433039,POINT (4.871218 52.380946),4.871218,52.380946
389,46352549,3176714997,2020-10-29 14:35:16,,0 days 02:21:53.000000000,2020-10-29 16:57:09,,8513,389,POINT (4.7935063 52.3639104),4.7935063,52.3639104,POINT (4.8903917 52.3732205),4.8903917,52.3732205
559,46301760,2613311559,2020-10-29 14:35:16,,0 days 01:56:43.000000000,2020-10-29 16:31:59,,7003,559,POINT (4.9214772 52.3524457),4.9214772,52.3524457,POINT (4.8537009 52.3783777),4.8537009,52.3783777
947,46393888,2020569119,2020-10-29 14:35:17,,0 days 00:05:53.000000000,2020-10-29 14:41:10,,353,947,POINT (4.8827292 52.373195),4.8827292,52.373195,POINT (4.8827968 52.3739261),4.8827968,52.3739261
487,297095277,46378973,2020-10-29 14:35:29,,0 days 00:26:17.000000000,2020-10-29 15:01:46,,1577,487,POINT (4.8718211 52.3713195),4.8718211,52.3713195,POINT (4.8503976 52.3700132),4.8503976,52.3700132
715,46374153,46398689,2020-10-29 14:35:35,,0 days 00:23:59.000000000,2020-10-29 14:59:34,,1439,715,POINT (4.8575082 52.3691367),4.8575082,52.3691367,POINT (4.8447363 52.3741422),4.8447363,52.3741422
190,7191981771,46368135,2020-10-29 14:35:36,,0 days 01:17:42.000000000,2020-10-29 15:53:18,,4662,190,POINT (4.9305698 52.3537337),4.9305698,52.3537337,POINT (4.8869657 52.367779),4.8869657,52.367779
838,1673397805,46380482,2020-10-29 14:35:37,,0 days 01:56:08.000000000,2020-10-29 16:31:45,,6968,838,POINT (4.9640935 52.3735152),4.9640935,52.3735152,POINT (4.8843873 52.3703696),4.8843873,52.3703696
920,2311111527,46284239,2020-10-29 14:35:38,,0 days 00:42:13.000000000,2020-10-29 15:17:51,,2533,920,POINT (4.8729685 52.366205),4.8729685,52.366205,POINT (4.8750889 52.3483356),4.8750889,52.3483356
204,46363762,46407707,2020-10-29 14:35:43,,0 days 01:55:39.000000000,2020-10-29 16:31:22,,6939,204,POINT (4.9338917 52.3668645),4.9338917,52.3668645,POINT (4.85916 52.37607),4.85916,52.37607
71,4611724856,1472217420,2020-10-29 14:35:45,,0 days 01:48:32.000000000,2020-10-29 16:24:17,,6512,71,POINT (4.8867496 52.3611997),4.8867496,52.3611997,POINT (4.8107044 52.3759796),4.8107044,52.3759796
209,1726034559,46380158,2020-10-29 14:35:55,,0 days 02:08:18.000000000,2020-10-29 16:44:13,,7698,209,POINT (4.7889898 52.3599807),4.7889898,52.3599807,POINT (4.8801521 52.3703137),4.8801521,52.3703137
829,46340766,175661623,2020-10-29 14:36:00,,0 days 00:39:11.000000000,2020-10-29 15:15:11,,2351,829,POINT (4.8732888 52.3611823),4.8732888,52.3611823,POINT (4.8664325 52.3747578),4.8664325,52.3747578
583,46411017,46376376,2020-10-29 14:36:05,,0 days 00:58:46.000000000,2020-10-29 15:34:51,,3526,583,POINT (4.8489377 52.3767205),4.8489377,52.3767205,POINT (4.8823837 52.3695636),4.8823837,52.3695636
338,46363315,46351183,2020-10-29 14:36:08,,0 days 00:15:48.000000000,2020-10-29 14:51:56,,948,338,POINT (4.884677 52.3667027),4.884677,52.3667027,POINT (4.8961562 52.3635771),4.8961562,52.3635771
522,2613220870,46379937,2020-10-29 14:36:10,,0 days 00:56:00.000000000,2020-10-29 15:32:10,,3360,522,POINT (4.8327473 52.3760374),4.8327473,52.3760374,POINT (4.8671955 52.3701848),4.8671955,52.3701848
455,46371986,1069320476,2020-10-29 14:36:18,,0 days 00:28:43.000000000,2020-10-29 15:05:01,,1723,455,POINT (4.8823361 52.3686662),4.8823361,52.3686662,POINT (4.8847833 52.3650413),4.8847833,52.3650413
933,46313427,46374243,2020-10-29 14:36:22,,0 days 01:26:12.000000000,2020-10-29 16:02:34,,5172,933,POINT (4.8196229 52.3549639),4.8196229,52.3549639,POINT (4.8795343 52.3691597),4.8795343,52.3691597
641,46265994,46417048,2020-10-29 14:36:25,,0 days 01:40:40.000000000,2020-10-29 16:17:05,,6040,641,POINT (4.9181523 52.3440326),4.9181523,52.3440326,POINT (4.8935797 52.3780879),4.8935797,52.3780879
214,256453702,46292401,2020-10-29 14:36:35,,0 days 01:35:29.000000000,2020-10-29 16:12:04,,5729,214,POINT (4.9513343 52.3542925),4.9513343,52.3542925,POINT (4.8815235 52.3501935),4.8815235,52.3501935
681,46455321,46472521,2020-10-29 14:36:38,,0 days 02:00:16.000000000,2020-10-29 16:36:54,,7216,681,POINT (4.9161039 52.3863641),4.9161039,52.3863641,POINT (4.8821562 52.3903415),4.8821562,52.3903415
259,46514899,1352598293,2020-10-29 14:36:41,,0 days 03:05:21.000000000,2020-10-29 17:42:02,,11121,259,POINT (4.9436956 52.4033647),4.9436956,52.4033647,POINT (4.8594935 52.3576169),4.8594935,52.3576169
680,7230055445,2311107799,2020-10-29 14:36:42,,0 days 01:04:13.000000000,2020-10-29 15:40:55,,3853,680,POINT (4.8404427 52.3461486),4.8404427,52.3461486,POINT (4.8744262 52.3638486),4.8744262,52.3638486
147,46416072,46393888,2020-10-29 14:36:48,,0 days 00:19:40.000000000,2020-10-29 14:56:28,,1180,147,POINT (4.8772723 52.3778487),4.8772723,52.3778487,POINT (4.8827292 52.373195),4.8827292,52.373195
616,46507335,46404906,2020-10-29 14:36:50,,0 days 02:37:38.000000000,2020-10-29 17:14:28,,9458,616,POINT (4.9398193 52.4009637),4.9398193,52.4009637,POINT (4.8674745 52.3754741),4.8674745,52.3754741
496,46448859,2298641934,2020-10-29 14:36:51,,0 days 00:28:00.000000000,2020-10-29 15:04:51,,1680,496,POINT (4.8851687 52.3849032),4.8851687,52.3849032,POINT (4.8725554 52.374767),4.8725554,52.374767
242,46399182,6933088593,2020-10-29 14:36:51,,0 days 01:39:11.000000000,2020-10-29 16:16:02,,5951,242,POINT (4.8164658 52.3742686),4.8164658,52.3742686,POINT (4.8784745 52.3581278),4.8784745,52.3581278
196,267422324,46396067,2020-10-29 14:36:52,,0 days 01:14:21.000000000,2020-10-29 15:51:13,,4461,196,POINT (4.9047252 52.3612601),4.9047252,52.3612601,POINT (4.8692422 52.3736002),4.8692422,52.3736002
299,2300344136,46470161,2020-10-29 14:37:02,,0 days 00:43:17.000000000,2020-10-29 15:20:19,,2597,299,POINT (4.8866398 52.378842),4.8866398,52.378842,POINT (4.8780767 52.3898934),4.8780767,52.3898934
207,46365743,46406336,2020-10-29 14:37:04,,0 days 01:26:36.000000000,2020-10-29 16:03:40,,5196,207,POINT (4.9125213 52.3672709),4.9125213,52.3672709,POINT (4.8674032 52.3761604),4.8674032,52.3761604
613,46433913,3214960374,2020-10-29 14:37:15,,0 days 00:32:04.000000000,2020-10-29 15:09:19,,1924,613,POINT (4.8862175 52.381549),4.8862175,52.381549,POINT (4.8849328 52.3670561),4.8849328,52.3670561
414,46356466,5888053596,2020-10-29 14:37:17,,0 days 00:45:38.000000000,2020-10-29 15:22:55,,2738,414,POINT (4.9366659 52.3649603),4.9366659,52.3649603,POINT (4.9037564 52.3750981),4.9037564,52.3750981
814,46268557,1587126024,2020-10-29 14:37:20,,0 days 01:15:05.000000000,2020-10-29 15:52:25,,4505,814,POINT (4.8567934 52.3447658),4.8567934,52.3447658,POINT (4.8749835 52.3741036),4.8749835,52.3741036
169,46458123,46424018,2020-10-29 14:37:20,,0 days 00:19:46.000000000,2020-10-29 14:57:06,,1186,169,POINT (4.8834303 52.3871534),4.8834303,52.3871534,POINT (4.8755208 52.3795405),4.8755208,52.3795405
685,4175963808,46412617,2020-10-29 14:37:23,,0 days 02:49:45.000000000,2020-10-29 17:27:08,,10185,685,POINT (4.9030094 52.3851494),4.9030094,52.3851494,POINT (4.8528827 52.3769575),4.8528827,52.3769575
708,46336969,5827459048,2020-10-29 14:37:24,,0 days 01:07:18.000000000,2020-10-29 15:44:42,,4038,708,POINT (4.8959873 52.3603497),4.8959873,52.3603497,POINT (4.882757 52.3840414),4.882757,52.3840414
101,46390032,1838674586,2020-10-29 14:37:26,,0 days 00:20:28.000000000,2020-10-29 14:57:54,,1228,101,POINT (4.8831793 52.3724064),4.8831793,52.3724064,POINT (4.8733471 52.3657347),4.8733471,52.3657347
